Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Joseph-Pallante,Joseph-Pallante,2,11,13,16.0,2.0,14.0,6.0,3.163204747774481,45.16233390792214,8.2394946E-4,0.0010023388,2,6.701389621824349E-4,0,20,0.12727273,0.0019635407400987216
John-Jane,John-Jane,0,6,6,6.0,0.0,6.0,7.0,3.867069486404834,0.0,0.0,3.3411293E-4,4,5.367386671337139E-4,0,27,0.3,0.0
Harish-Raman,Harish-Raman,1,2,3,3.0,1.0,2.0,8.0,4.403030303030303,0.7482142857142857,5.4929964E-4,6.6822587E-4,6,6.041630702093458E-4,0,6,0.33333334,0.0047248109708442855
Sathish-Kumar-Balakrishnan,Sathish-Kumar-Balakrishnan,1,6,7,9.0,2.0,7.0,7.0,2.9818731117824773,21.142346080916987,5.4929964E-4,6.6822587E-4,2,5.885230490837681E-4,0,18,0.23809524,0.00109792815334685
Srivats-Bharadwaj,Srivats-Bharadwaj,1,6,7,9.0,1.0,8.0,7.0,3.2666666666666666,11.380211400357112,5.4929964E-4,6.6822587E-4,6,6.155553428173238E-4,0,6,0.16666667,0.0032182883953272047
Bhanu-Korremula,Bhanu-Korremula,8,5,13,17.0,10.0,7.0,7.0,2.987878787878788,219.0414686208952,0.0024718484,0.0030070164,2,0.0010001930439183832,0,6,0.15151516,0.024126035192682437
Rishabh-Kanth,Rishabh-Kanth,10,7,17,18.0,11.0,7.0,6.0,2.7848484848484847,178.31328171983964,0.003021148,0.0033411293,0,0.001163866647335181,0,6,0.15833333,0.04526600106754327
Mayank-Sharma,Mayank-Sharma,2,7,9,10.0,2.0,8.0,6.0,2.6484848484848484,39.37676874925326,8.2394946E-4,0.0010023388,3,6.794300060510886E-4,0,6,0.32142857,0.007321603902777803
Adarsh-EP,Adarsh-EP,0,2,2,2.0,0.0,2.0,8.0,4.398791540785498,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,28,0.5,0.0
Rohith-Bcs,Rohith-Bcs,1,1,2,2.0,1.0,1.0,8.0,4.409090909090909,0.0,5.4929964E-4,6.6822587E-4,0,5.568870974141247E-4,0,6,0.5,0.005542210770036887
