Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Anila-Syed,Anila-Syed,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,68,0.0,0.2967609211589137
Joshua-Kaplan,Joshua-Kaplan,0,9,9,11.0,0.0,11.0,4.0,2.0455465587044532,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1061,0.013888889,0.0
Ramone-Schenk,Ramone-Schenk,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1055,0.0,0.0029676092115891372
Elise-Reynolds,Elise-Reynolds,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1056,0.0,0.0029676092115891372
Damon-Atherly,Damon-Atherly,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1057,0.0,0.0029676092115891372
Abd-Ul-Rahman-Lomax,Abd-Ul-Rahman-Lomax,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1058,0.0,0.0029676092115891372
Zafar-ul-Haq,Zafar-ul-Haq,3,0,3,4.0,4.0,0.0,0.0,0.0,0.0,0.001017294,0.0,0,5.745773789577048E-4,0,69,0.16666667,0.30269613958209196
Hassan-Idris-Hassan,Hassan-Idris-Hassan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1059,0.0,0.0029676092115891372
Jim-Ashby,Jim-Ashby,7,0,7,8.0,8.0,0.0,0.0,0.0,0.0,0.002034588,0.0,11,8.477005236403426E-4,0,21,0.023809524,0.14360710628740356
Ilhan-Akcay,Ilhan-Akcay,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1060,0.0,0.0029676092115891372
Amin-Ghaemi,Amin-Ghaemi,0,9,9,9.0,0.0,9.0,4.0,2.9868154158215012,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1066,0.0,0.0
Sabeen-Umar,Sabeen-Umar,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1062,0.0,0.0029676092115891372
Naqi-Bhatti,Naqi-Bhatti,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1063,0.0,0.0029676092115891372
Amir-Amiri,Amir-Amiri,3,0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.001017294,0.0,0,5.615710739555872E-4,0,70,0.33333334,0.3745459125027746
AbdulMajed-Raja,AbdulMajed-Raja,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.251263122401269E-4,0,1064,0.0,0.0029676092115891372
Abdolmajid-Roohnia,Abdolmajid-Roohnia,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,12,6.270871291025214E-4,0,1065,0.0,0.0059352184231782745
Ahmad-Ali,Ahmad-Ali,0,2,2,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.004854369,4,4.7981039363461823E-4,0,1068,0.0,0.0
Robert-J-Kolker,Robert-J-Kolker,11,1,12,17.0,16.0,1.0,0.0,0.0,0.0,0.003051882,0.024271844,0,0.006823468971645988,0,22,0.055555556,0.5062058875736256
Surajit-Sarkar,Surajit-Sarkar,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,4,6.837320273594073E-4,0,1067,0.0,0.0029676092115891372
Ibnaroj-Ali-Lamchari,Ibnaroj-Ali-Lamchari,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,71,0.0,0.2967609211589137
Darrin-Murriner,Darrin-Murriner,0,5,5,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.004854369,43,4.7981039363461823E-4,0,1072,0.0,0.0
Hazem-El-Seddiq,Hazem-El-Seddiq,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,43,5.613790471245339E-4,0,1069,0.0,0.0029676092115891372
Thomas-Wilson,Thomas-Wilson,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,43,5.613790471245339E-4,0,1070,0.0,0.0029676092115891372
Atherr-Alam,Atherr-Alam,3,0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.001017294,0.0,43,5.927037463999082E-4,0,72,0.16666667,0.30269613958209196
Tehreem-Ansari,Tehreem-Ansari,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,43,5.783725166015996E-4,0,1071,0.0,0.0059352184231782745
Yasir-Hasan,Yasir-Hasan,2,3,5,6.0,3.0,3.0,1.0,1.0,167.0,7.629705E-4,0.009708738,28,5.153181007812703E-4,0,76,0.05,0.29972853037050284
Waleed-Kadous,Waleed-Kadous,4,0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0012716175,0.0,28,7.285160691286452E-4,0,73,0.16666667,0.3775135217143637
Dawood-Ali,Dawood-Ali,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,28,6.258187980495947E-4,0,74,0.0,0.07481738213227153
David-Carpenter,David-Carpenter,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,28,6.258187980495947E-4,0,75,0.0,0.07481738213227153
